barcode,desc_short,CLIR_status,json_status,old_json,old_json_src,bibliocommons,call_number,publisher,publisher_full,geo_extent,geo_extent_discrete,year,title,bibliocommons_control
39999059011906,west roxbury 1924,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1924-westroxbury.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1924-westroxbury.geojson,https://bpl.bibliocommons.com/item/show/2788602075_atlas_of_the_city_of_boston,G1234_B6_2W4_B7_1924x,Bromley,Philadelphia : G.W. Bromley and Co.,West Roxbury,West Roxbury,1924,Atlas of the City of Boston,2788602075
39999059012045,boston proper 1861,in progress,old index,https://apps.bpl.org/nblmc/indexes/index-pinney-1861-boston.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-pinney-1861-boston.geojson,https://bpl.bibliocommons.com/item/show/2788825075_plan_of_the_city_of_boston,G1234_B6G475_P5_1861x,Pinney,Boston [Mass.] : Prang & Co. Lith.,"Beacon Hill, Downtown",Boston proper,1861,Plan of the City of Boston,2788825075
39999059011260,boston proper 1895,in progress,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1895-bostonproper.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1895-bostonproper.geojson,https://bpl.bibliocommons.com/item/show/2788476075_atlas_of_the_city_of_boston,G1234_B6_B7_1895,Bromley,Philadelphia : G.W. Bromley & Co.,Boston proper,"Boston proper,Roxbury",1895,Atlas of the City of Boston,2788476075
39999059011674,brighton 1925,in progress,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1925-brighton.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1925-brighton.geojson,https://bpl.bibliocommons.com/item/show/2788601075_atlas_of_the_city_of_boston,G1234_B6_2B7_B7_1925x,Bromley ,Philadelphia : G.W. Bromley and Co.,Brighton,Brighton,1925,Atlas of the City of Boston,2788601075
39999059012037,charlestown 1868,in progress,old index,https://apps.bpl.org/nblmc/indexes/index-sanborn-1868-roxburycharlestowncambridge.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-sanborn-1868-roxburycharlestowncambridge.geojson,https://bpl.bibliocommons.com/item/show/2788823075_insurance_map_of_charlestown,G1234_B6_2C38G475_S2_1868x,Sanborn,New York : D.A. Sanborn.,"Upper Roxbury, Cambridge, Charlestown","Charlestown,Roxbury,Cambridge",1868,Insurance Map of Charlestown,2788823075
39999059010932,charlestown 1885,in progress,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1885-charlestownandbrighton.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1885-charlestownandbrighton.geojson,https://bpl.bibliocommons.com/item/show/2887730075_atlas_of_the_city_of_boston,G1234_B6 B7_1883v6,Bromley,Philadelphia : Geo .W. and Walter S. Bromley.,Charlestown & Brighton,"Brighton,Charlestown",1885,Atlas of the City of Boston,2887730075
39999085945705,charlestown 1885,in progress,old index,https://apps.bpl.org/nblmc/indexes/index-sanborn-1884-charlestownandcambridge.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-sanborn-1884-charlestownandcambridge.geojson,https://bpl.bibliocommons.com/item/show/6413000075,G1234_B6G475_S36_1885_v4,Sanborn,New York : National Diagram Bureau.,"Charlestown, East Cambridge, Cambridge Port, Old Cambridge, Somerville","Charlestown,Cambridge,Somerville",1885,Insurance Maps of Boston,6413000075
39999059011849,charlestown 1901,in progress,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1901-charlestown.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1901-charlestown.geojson,https://bpl.bibliocommons.com/item/show/2788564075_atlas_of_the_city_of_boston,G1234_B6_2C38_B7_1901x,Bromley,Philadelphia : G.W. Bromley and Co.,Charlestown,Charlestown,1901,Atlas of the City of Boston,2788564075
39999059012052,boston proper 1867,complete,new index,https://apps.bpl.org/nblmc/indexes/index-sanborn-1867-bostonvol1.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-sanborn-1867-bostonvol1.geojson,https://bpl.bibliocommons.com/item/show/2775215075_insurance_map_of_boston,G1234_B6G475_S2_1867v1,Sanborn,New York : [D.A. Sanborn],Boston Proper,"Boston proper,East Boston",1867,Insurance Map of Boston,2775215075
39999059015428,boston proper 1870,complete,new index,https://apps.bpl.org/nblmc/indexes/index-sanborn-1870-bostonvol2.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-sanborn-1870-bostonvol2.geojson,https://bpl.bibliocommons.com/item/show/2794164075_insurance_map_of_boston,G1234_B6G475_S2_1870x,Sanborn,"Sanborn, Daniel A.",Boston proper,"Boston proper,East Boston,South Boston",1870,Insurance Map of Boston,2794164075
